"Municipality","secA.SSI.mean","secA.SSI.count"
"Beauharnois",1.377933e+00,5.650000e+02
"Boisbriand",8.593448e-01,3.451000e+03
"Boucherville",1.029776e+00,3.680000e+02
"Brossard",1.046598e+00,9.300000e+01
"Candiac",8.361401e-01,1.700000e+01
"Carignan",1.864240e+00,2.000000e+00
"Chambly",1.386040e+00,4.780000e+02
"Châteauguay",1.074787e+00,2.700000e+02
"Contrecoeur",1.209722e+00,2.320000e+02
"Dorval",1.534729e+00,1.000000e+01
"Hudson",1.083609e+00,3.960000e+02
"Kirkland",4.082483e-01,1.000000e+00
"L'Assomption",1.161301e+00,3.530000e+02
"La Prairie",2.875175e+00,2.000000e+00
"Laval",1.107554e+00,3.127000e+03
"Les Cèdres",7.620008e-01,1.000000e+00
"Longueuil",1.141814e+00,3.736000e+03
"Mascouche",1.022957e+00,1.010000e+02
"Mercier",9.874557e-01,1.730000e+02
"Mirabel",1.380046e+00,2.200000e+01
"Mont-Royal",8.762574e-01,2.900000e+01
"Mont-Saint-Hilaire",1.210345e+00,1.520000e+02
"Montréal",1.058675e+00,2.149000e+04
"Montréal-Est",9.427499e-01,1.720000e+02
"Notre-Dame-de-l'Île-Perrot",9.817592e-01,1.960000e+02
"Oka",1.167762e+00,3.110000e+02
"Otterburn Park",1.033688e+00,1.250000e+02
"Pointe-Claire",1.033085e+00,4.100000e+01
"Repentigny",9.527086e-01,2.540000e+02
"Richelieu",1.856576e+00,1.000000e+01
"Saint-Amable",6.214055e-01,3.400000e+01
"Saint-Basile-le-Grand",9.361739e-01,1.161000e+03
"Saint-Bruno-de-Montarville",1.181349e+00,4.290000e+02
"Saint-Constant",9.790311e-01,6.200000e+01
"Saint-Lambert",8.338842e-01,3.000000e+00
"Saint-Lazare",1.526078e+00,2.590000e+02
"Saint-Mathias-sur-Richelieu",1.458680e+00,7.900000e+01
"Saint-Mathieu",8.591800e-01,1.400000e+01
"Saint-Sulpice",9.115355e-01,5.800000e+01
"Sainte-Anne-de-Bellevue",1.038937e+00,6.900000e+01
"Sainte-Catherine",1.069675e+00,7.790000e+02
"Sainte-Julie",1.047516e+00,3.400000e+01
"Senneville",1.111474e+00,1.320000e+02
"Terrebonne",1.075792e+00,3.000000e+01
"Varennes",1.426977e+00,5.320000e+02
"Vaudreuil-Dorion",1.048473e+00,1.930000e+02
"Verchères",1.100334e+00,1.700000e+01
"Westmount",1.245004e+00,8.170000e+02
