"Municipality","secC.SSI.mean","secC.SSI.count"
"Baie-d'Urfé",9.171816e-01,5.250000e+02
"Beaconsfield",7.117714e-01,1.200000e+01
"Beauharnois",1.201249e+00,3.337000e+03
"Beloeil",8.679732e-01,4.300000e+01
"Blainville",1.075625e+00,6.000000e+00
"Boisbriand",8.537645e-01,1.080000e+02
"Boucherville",1.122809e+00,2.120000e+03
"Brossard",8.785341e-01,5.900000e+01
"Candiac",8.188776e-01,1.700000e+01
"Carignan",9.763132e-01,5.900000e+01
"Chambly",1.118294e+00,1.702000e+03
"Châteauguay",1.026848e+00,1.861000e+03
"Contrecoeur",1.186472e+00,3.460000e+02
"Delson",7.081679e-01,7.000000e+00
"Deux-Montagnes",2.366432e+00,3.000000e+00
"Dorval",8.658103e-01,2.300000e+01
"Hudson",1.043283e+00,7.630000e+02
"L'Assomption",8.814641e-01,8.200000e+01
"L'Île-Perrot",8.956391e-01,3.500000e+01
"La Prairie",7.203269e-01,2.100000e+01
"Laval",1.085944e+00,1.740100e+04
"Léry",2.516611e+00,1.000000e+00
"Les Cèdres",1.044567e+00,1.420000e+02
"Longueuil",1.034710e+00,7.656000e+03
"Lorraine",1.129541e+00,1.000000e+00
"Mascouche",9.797834e-01,1.069000e+03
"Mercier",9.387114e-01,8.850000e+02
"Mirabel",1.068272e+00,6.710000e+02
"Mont-Royal",7.872329e-01,7.700000e+01
"Mont-Saint-Hilaire",1.052848e+00,7.660000e+02
"Montréal",9.536470e-01,4.698500e+04
"Montréal-Est",7.965298e-01,1.740000e+02
"Notre-Dame-de-l'Île-Perrot",9.486926e-01,3.840000e+02
"Oka",1.085873e+00,1.326000e+03
"Otterburn Park",8.011094e-01,1.900000e+01
"Pincourt",9.128709e-01,1.000000e+00
"Pointe-Calumet",1.407353e+00,1.150000e+02
"Pointe-Claire",1.115575e+00,2.260000e+02
"Pointe-des-Cascades",1.222490e+00,1.200000e+01
"Repentigny",9.156783e-01,7.930000e+02
"Richelieu",7.942699e-01,4.400000e+01
"Rosemère",9.548329e-01,3.470000e+02
"Saint-Basile-le-Grand",1.147061e+00,1.053000e+03
"Saint-Bruno-de-Montarville",8.715836e-01,5.210000e+02
"Saint-Constant",1.158775e+00,3.000000e+00
"Saint-Eustache",8.454979e-01,2.340000e+02
"Saint-Jean-Baptiste",8.592779e-01,2.000000e+00
"Saint-Lambert",6.923302e-01,3.000000e+00
"Saint-Lazare",1.093114e+00,4.827000e+03
"Saint-Mathias-sur-Richelieu",1.185683e+00,1.760000e+02
"Saint-Mathieu",7.205783e-01,8.000000e+00
"Saint-Mathieu-de-Beloeil",7.983187e-01,1.710000e+02
"Saint-Philippe",8.875992e-01,5.800000e+01
"Saint-Sulpice",7.867337e-01,1.700000e+01
"Sainte-Anne-de-Bellevue",1.047469e+00,3.448000e+03
"Sainte-Catherine",1.256379e+00,3.222000e+03
"Sainte-Julie",1.250325e+00,1.300000e+01
"Sainte-Marthe-sur-le-Lac",1.291258e+00,6.300000e+01
"Sainte-Thérèse",2.071774e+00,2.000000e+00
"Senneville",1.101622e+00,1.230000e+02
"Terrebonne",1.007098e+00,1.319000e+03
"Varennes",1.204946e+00,5.230000e+02
"Vaudreuil-Dorion",1.393965e+00,4.990000e+02
"Verchères",8.000434e-01,2.500000e+01
"Westmount",1.140194e+00,1.211000e+03
