"Municipality","secD.SSI.mean","secD.SSI.count"
"Baie-d'Urfé",8.028207e-01,3.700000e+01
"Beaconsfield",5.373118e-01,4.400000e+01
"Beauharnois",1.140759e+00,2.138000e+03
"Beloeil",8.111718e-01,1.550000e+02
"Blainville",1.000684e+00,6.200000e+01
"Bois-des-Filion",8.673982e-01,4.300000e+01
"Boisbriand",8.037949e-01,3.440000e+02
"Boucherville",1.021720e+00,3.182000e+03
"Brossard",8.476997e-01,1.100000e+02
"Calixa-Lavallée",5.121025e-01,3.000000e+00
"Candiac",1.041047e+00,3.040000e+02
"Carignan",8.844985e-01,3.690000e+02
"Chambly",1.040059e+00,6.425000e+03
"Châteauguay",9.865680e-01,9.830000e+03
"Contrecoeur",9.734717e-01,4.500000e+01
"Deux-Montagnes",1.417481e+00,1.800000e+01
"Dollard-Des Ormeaux",7.603472e-01,1.040000e+02
"Dorval",8.242089e-01,1.800000e+01
"Hudson",9.870239e-01,1.518000e+03
"Kirkland",8.245424e-01,3.000000e+00
"L'Assomption",9.848702e-01,4.190000e+02
"L'Île-Cadieux",8.277814e-01,3.400000e+01
"L'Île-Perrot",7.203149e-01,1.000000e+01
"La Prairie",6.419699e-01,7.550000e+02
"Laval",8.776891e-01,2.442500e+04
"Léry",2.983431e+00,3.000000e+00
"Les Cèdres",8.190751e-01,2.410000e+02
"Longueuil",1.038972e+00,7.382000e+03
"Lorraine",8.561194e-01,8.400000e+01
"Mascouche",8.908382e-01,9.240000e+02
"McMasterville",7.506303e-01,3.600000e+01
"Mercier",9.810006e-01,7.320000e+02
"Mirabel",1.020108e+00,1.028000e+03
"Mont-Royal",7.877850e-01,1.070000e+02
"Mont-Saint-Hilaire",9.533881e-01,1.190000e+02
"Montréal",8.862644e-01,6.479200e+04
"Montréal-Est",6.959436e-01,1.920000e+02
"Montréal-Ouest",9.617692e-01,1.000000e+00
"Notre-Dame-de-l'Île-Perrot",8.887257e-01,3.690000e+02
"Oka",1.059535e+00,3.184000e+03
"Otterburn Park",1.307040e+00,6.700000e+01
"Pincourt",1.209522e+00,1.760000e+02
"Pointe-Calumet",1.038537e+00,7.800000e+01
"Pointe-Claire",8.649682e-01,1.240000e+02
"Pointe-des-Cascades",1.049533e+00,8.500000e+01
"Repentigny",8.355934e-01,5.370000e+02
"Richelieu",8.854027e-01,7.300000e+01
"Rosemère",9.382100e-01,9.300000e+02
"Saint-Amable",6.866858e-01,4.800000e+01
"Saint-Basile-le-Grand",1.126113e+00,9.820000e+02
"Saint-Bruno-de-Montarville",8.244280e-01,3.890000e+02
"Saint-Constant",6.714803e-01,1.620000e+02
"Saint-Eustache",8.018879e-01,1.510000e+03
"Saint-Isidore",7.886326e-01,1.700000e+01
"Saint-Jean-Baptiste",1.409621e+00,2.000000e+00
"Saint-Joseph-du-Lac",2.327373e+00,1.000000e+00
"Saint-Lambert",5.794352e-01,2.000000e+01
"Saint-Lazare",9.717486e-01,1.311300e+04
"Saint-Mathias-sur-Richelieu",1.185320e+00,4.620000e+02
"Saint-Mathieu",7.383925e-01,3.000000e+00
"Saint-Mathieu-de-Beloeil",6.590103e-01,1.540000e+02
"Saint-Philippe",7.656416e-01,9.000000e+00
"Saint-Sulpice",8.412475e-01,9.000000e+01
"Sainte-Anne-de-Bellevue",9.376489e-01,1.443000e+03
"Sainte-Anne-des-Plaines",6.946028e-01,8.700000e+01
"Sainte-Catherine",1.082915e+00,6.980000e+02
"Sainte-Julie",7.314541e-01,2.800000e+01
"Sainte-Marthe-sur-le-Lac",1.001625e+00,4.720000e+02
"Sainte-Thérèse",6.986181e-01,3.000000e+00
"Senneville",9.401059e-01,1.260000e+02
"Terrasse-Vaudreuil",6.185354e-01,1.200000e+01
"Terrebonne",8.870336e-01,3.987000e+03
"Varennes",8.650095e-01,3.830000e+02
"Vaudreuil-Dorion",1.157111e+00,7.960000e+02
"Verchères",1.023886e+00,2.800000e+01
"Westmount",1.029847e+00,1.070000e+03
